loss	val_loss	learning_rate	batch_size	epochs	kappa
3792.7675895467837	3650.488037109375	0.001	100	100	0.01
3676.9088484557747	3604.3662109375	0.001	100	100	0.01
3599.43316828856	3569.14990234375	0.001	100	100	0.01
3554.8258977521928	3534.709228515625	0.001	100	100	0.01
3538.540408842745	3592.520751953125	0.001	100	100	0.01
3525.7598056012425	3544.3037109375	0.001	100	100	0.01
3519.437617073282	3508.08837890625	0.001	100	100	0.01
3513.0000785247626	3526.86572265625	0.001	100	100	0.01
3511.3642763728985	3510.86474609375	0.001	100	100	0.01
3509.6040538765533	3509.049072265625	0.001	100	100	0.01
3508.6125017132676	3522.724609375	0.001	100	100	0.01
3503.087707876462	3499.315185546875	0.001	100	100	0.01
3503.4340463381764	3485.44287109375	0.001	100	100	0.01
3502.1650790387425	3489.76611328125	0.001	100	100	0.01
3502.6198487755846	3482.255859375	0.001	100	100	0.01
3499.0135390967653	3491.859130859375	0.001	100	100	0.01
3501.38147329587	3479.86376953125	0.001	100	100	0.01
3497.949654205501	3480.9404296875	0.001	100	100	0.01
3497.346130014163	3480.342529296875	0.001	100	100	0.01
3493.5862930030153	3497.88330078125	0.001	100	100	0.01
3493.9815923679644	3480.70068359375	0.001	100	100	0.01
3492.973261604532	3475.67626953125	0.001	100	100	0.01
3492.869087799251	3472.172607421875	0.001	100	100	0.01
3490.804696066338	3472.889892578125	0.001	100	100	0.01
3488.2058305349965	3472.528564453125	0.001	100	100	0.01
3486.4553451091924	3471.81884765625	0.001	100	100	0.01
3488.406135782164	3480.82373046875	0.001	100	100	0.01
3485.742740028783	3470.42138671875	0.001	100	100	0.01
3486.049067982456	3466.563232421875	0.001	100	100	0.01
3486.465209247076	3465.820068359375	0.001	100	100	0.01
3482.0993138363488	3468.334228515625	0.001	100	100	0.01
3480.7289068210894	3464.30029296875	0.001	100	100	0.01
3480.9645239400584	3455.0400390625	0.001	100	100	0.01
3480.2468433045506	3470.184814453125	0.001	100	100	0.01
3480.6493412486293	3463.700927734375	0.001	100	100	0.01
3479.2315495362755	3463.053955078125	0.001	100	100	0.01
3480.663088792946	3466.636474609375	0.001	100	100	0.01
3474.876896016082	3459.173095703125	0.001	100	100	0.01
3472.0411569695725	3454.993408203125	0.001	100	100	0.01
3476.9066283465827	3458.968017578125	0.001	100	100	0.01
3473.881895901864	3456.8037109375	0.001	100	100	0.01
3472.691961634229	3456.682861328125	0.001	100	100	0.01
3469.952756647478	3461.89697265625	0.001	100	100	0.01
3470.0665989925988	3456.324951171875	0.001	100	100	0.01
3467.9707959269917	3452.216552734375	0.001	100	100	0.01
3467.901617039017	3450.97705078125	0.001	100	100	0.01
3466.4832442434213	3451.931640625	0.001	100	100	0.01
3469.7725722998903	3447.6171875	0.001	100	100	0.01
3467.833132024397	3450.881591796875	0.001	100	100	0.01
3466.3875982273394	3455.016845703125	0.001	100	100	0.01
3464.6418171486657	3445.8408203125	0.001	100	100	0.01
3465.7699895490678	3443.568359375	0.001	100	100	0.01
3462.232476128472	3455.308837890625	0.001	100	100	0.01
3464.561153657255	3446.612060546875	0.001	100	100	0.01
3463.5142643800255	3452.130859375	0.001	100	100	0.01
3463.2205460754753	3446.218994140625	0.001	100	100	0.01
3459.2270779079863	3445.078857421875	0.001	100	100	0.01
3461.363829495614	3437.5859375	0.001	100	100	0.01
3456.726382606908	3438.60498046875	0.001	100	100	0.01
3461.1095092059577	3442.715576171875	0.001	100	100	0.01
3459.0978689807202	3439.998046875	0.001	100	100	0.01
3459.3226054230627	3438.576904296875	0.001	100	100	0.01
3455.1583387586807	3440.114501953125	0.001	100	100	0.01
3455.8373609397845	3433.950439453125	0.001	100	100	0.01
3456.7841896815607	3441.189697265625	0.001	100	100	0.01
3454.187748423794	3442.45263671875	0.001	100	100	0.01
3455.9647952074197	3435.242431640625	0.001	100	100	0.01
3454.7328159265353	3438.526611328125	0.001	100	100	0.01
3454.1720306218017	3440.38525390625	0.001	100	100	0.01
3454.9687685603985	3439.678955078125	0.001	100	100	0.01
3452.38226139894	3430.736083984375	0.001	100	100	0.01
3450.2800135919224	3439.775634765625	0.001	100	100	0.01
3450.2883686266446	3443.05712890625	0.001	100	100	0.01
3453.231560958059	3438.154541015625	0.001	100	100	0.01
3449.6643266287465	3439.017333984375	0.001	100	100	0.01
3449.6435432657163	3431.5712890625	0.001	100	100	0.01
3450.3000331231724	3435.35400390625	0.001	100	100	0.01
3450.8837576525952	3432.875732421875	0.001	100	100	0.01
3448.557921292489	3433.015869140625	0.001	100	100	0.01
3449.0303105582966	3429.572265625	0.001	100	100	0.01
3449.1634757058664	3430.889892578125	0.001	100	100	0.01
3448.109616285179	3428.0390625	0.001	100	100	0.01
3444.282409311038	3431.848388671875	0.001	100	100	0.01
3445.1862350374636	3436.220458984375	0.001	100	100	0.01
3444.594361065424	3427.780517578125	0.001	100	100	0.01
