	logFC	AveExpr	t	P.Value	adj.P.Val	B
PA4881	1.187	6.110	76.929	0.000	0.000	16.271
PA3126	1.008	10.002	67.211	0.000	0.000	15.481
PA1970	1.210	6.100	65.931	0.000	0.000	15.364
PA0896	-1.088	8.501	-53.983	0.000	0.000	14.104
PA2007	-1.214	10.254	-51.882	0.000	0.000	13.845
PA0865	-1.072	9.781	-51.497	0.000	0.000	13.795
PA5470	1.072	7.253	42.450	0.000	0.000	12.493
PA2008	-1.077	10.450	-39.992	0.000	0.000	12.080
PA2006	-1.169	8.953	-29.298	0.000	0.000	9.873
PA4354	1.150	6.347	26.433	0.000	0.000	9.129
PA4182	1.149	7.236	24.677	0.000	0.000	8.629
PA1999	-1.130	9.714	-24.139	0.000	0.000	8.468
PA1337	-1.036	9.959	-19.550	0.000	0.000	6.925
PA0899	-1.032	8.823	-17.805	0.000	0.000	6.239
