	logFC	AveExpr	t	P.Value	adj.P.Val	B
PA4940	0.886	8.754	5.192	0.000	0.756	-2.818
PA3327	-0.702	8.331	-4.948	0.001	0.756	-2.885
PA0997	-1.436	9.156	-4.871	0.001	0.756	-2.907
PA1903	-1.015	8.530	-4.572	0.001	0.756	-2.998
PA4762	-0.955	9.952	-4.525	0.001	0.756	-3.013
PA4385	-1.011	11.089	-4.524	0.001	0.756	-3.013
PA0802	0.869	6.556	4.445	0.001	0.756	-3.039
PA4211	-1.564	8.614	-4.354	0.001	0.756	-3.070
PA2194	-1.024	8.614	-4.344	0.001	0.756	-3.073
PA1774	0.660	7.531	4.138	0.002	0.756	-3.146
PA5173	-1.215	9.439	-4.034	0.002	0.756	-3.185
PA2000	-0.759	8.742	-4.000	0.002	0.756	-3.197
PA0998	-1.336	8.393	-3.942	0.003	0.756	-3.219
PA3068	-0.666	9.729	-3.829	0.003	0.756	-3.264
