	logFC	AveExpr	t	P.Value	adj.P.Val	B
PA4175	-4.156	10.563	-42.035	0.000	0.000	17.541
PA0887	5.273	9.500	38.232	0.000	0.000	16.849
PA1914	-3.427	9.025	-32.832	0.000	0.000	15.667
PA0534	-3.213	9.886	-32.169	0.000	0.000	15.502
PA4648	-3.226	10.734	-31.139	0.000	0.000	15.237
PA3234	3.263	8.826	28.785	0.000	0.000	14.584
PA1245	2.902	9.018	28.003	0.000	0.000	14.351
PA1432	2.773	9.649	27.588	0.000	0.000	14.224
PA2939	-2.784	10.368	-27.259	0.000	0.000	14.121
PA0899	-3.250	8.995	-27.092	0.000	0.000	14.068
PA3195	2.970	10.733	26.550	0.000	0.000	13.895
PA0535	-2.691	9.009	-25.867	0.000	0.000	13.669
PA1875	-2.486	8.348	-24.318	0.000	0.000	13.128
PA0897	-2.595	7.735	-23.790	0.000	0.000	12.934
