loss	val_loss	learning_rate	batch_size	epochs	kappa
22944.56451128257	8588.9423828125	0.001	100	40	0.01
7798.092652275899	7594.9140625	0.001	100	40	0.01
7387.792817297999	6647.78271484375	0.001	100	40	0.01
6940.66883020898	6044.8779296875	0.001	100	40	0.01
6643.503172010701	5841.0771484375	0.001	100	40	0.01
6153.928653991547	5806.53271484375	0.001	100	40	0.01
5938.69106336267	5689.1904296875	0.001	100	40	0.01
5812.020718633685	5642.50146484375	0.001	100	40	0.01
5732.744500474953	5516.9638671875	0.001	100	40	0.01
5695.034830325295	5464.51708984375	0.001	100	40	0.01
5673.975130369882	5446.5595703125	0.001	100	40	0.01
5593.9197340745195	5424.29736328125	0.001	100	40	0.01
5584.058428970224	5414.017578125	0.001	100	40	0.01
5571.580899600652	5386.47900390625	0.001	100	40	0.01
5525.618769870503	5344.890625	0.001	100	40	0.01
5518.7931262600805	5326.2724609375	0.001	100	40	0.01
5533.986164556839	5294.4765625	0.001	100	40	0.01
5479.244405968905	5391.53076171875	0.001	100	40	0.01
5486.62745958049	5266.37548828125	0.001	100	40	0.01
5469.123882890043	5245.73828125	0.001	100	40	0.01
5468.5769400395475	5264.61962890625	0.001	100	40	0.01
5475.54584391478	5276.9873046875	0.001	100	40	0.01
5453.6284337197585	5244.36865234375	0.001	100	40	0.01
5453.132673164159	5236.23486328125	0.001	100	40	0.01
5415.382343604606	5297.74951171875	0.001	100	40	0.01
5401.48046875	5195.7373046875	0.001	100	40	0.01
5393.818399358328	5167.68896484375	0.001	100	40	0.01
5360.498903487515	5201.9013671875	0.001	100	40	0.01
5372.079672233638	5149.0244140625	0.001	100	40	0.01
5342.54799695642	5168.98291015625	0.001	100	40	0.01
5359.3736320855305	5136.88037109375	0.001	100	40	0.01
5338.823805588942	5113.283203125	0.001	100	40	0.01
5310.884583882599	5146.05712890625	0.001	100	40	0.01
5314.304846221697	5117.57080078125	0.001	100	40	0.01
5307.884525119223	5107.01953125	0.001	100	40	0.01
5304.767935551721	5065.90087890625	0.001	100	40	0.01
5378.306851446185	5080.55810546875	0.001	100	40	0.01
5355.839924928272	5109.2431640625	0.001	100	40	0.01
5326.626335200837	5083.97607421875	0.001	100	40	0.01
5291.300685532336	5130.380859375	0.001	100	40	0.01
