loss	val_loss	learning_rate	batch_size	epochs	kappa
3611.1524508292214	3816.112548828125	0.001	100	100	0.01
3495.2919636330407	3551.1630859375	0.001	100	100	0.01
3473.24176203856	3482.1953125	0.001	100	100	0.01
3456.7678422537465	3456.39404296875	0.001	100	100	0.01
3444.9030033580043	3459.730712890625	0.001	100	100	0.01
3436.7637461165937	3416.9892578125	0.001	100	100	0.01
3431.3798514025952	3434.447021484375	0.001	100	100	0.01
3427.3697973775584	3411.05126953125	0.001	100	100	0.01
3419.9824347245067	3410.51708984375	0.001	100	100	0.01
3415.97004066155	3404.32177734375	0.001	100	100	0.01
3416.2801877741226	3403.403564453125	0.001	100	100	0.01
3411.18658625731	3401.888916015625	0.001	100	100	0.01
3407.450323807566	3393.69384765625	0.001	100	100	0.01
3406.352105034722	3394.185302734375	0.001	100	100	0.01
3402.1353981062684	3398.571044921875	0.001	100	100	0.01
3398.767769439876	3387.997314453125	0.001	100	100	0.01
3392.9006019279973	3390.25	0.001	100	100	0.01
3393.4382195723683	3394.5673828125	0.001	100	100	0.01
3390.781241433662	3390.808837890625	0.001	100	100	0.01
3387.241693507858	3386.565185546875	0.001	100	100	0.01
3388.4474683616595	3382.153076171875	0.001	100	100	0.01
3384.6556789108186	3392.946044921875	0.001	100	100	0.01
3384.2206560101426	3371.802734375	0.001	100	100	0.01
3379.0954204358554	3374.396728515625	0.001	100	100	0.01
3378.7491790593017	3382.1201171875	0.001	100	100	0.01
3377.1324284425255	3371.391845703125	0.001	100	100	0.01
3376.2098652800623	3366.204345703125	0.001	100	100	0.01
3373.7144682588632	3373.867431640625	0.001	100	100	0.01
3371.5058465254933	3363.131591796875	0.001	100	100	0.01
3368.7514933982093	3365.152587890625	0.001	100	100	0.01
3368.322269908169	3358.762451171875	0.001	100	100	0.01
3366.2653508771928	3359.65087890625	0.001	100	100	0.01
3362.6107684576023	3359.067138671875	0.001	100	100	0.01
3360.8646675689874	3356.637451171875	0.001	100	100	0.01
3360.1894859626277	3358.750732421875	0.001	100	100	0.01
3359.645937557109	3352.0322265625	0.001	100	100	0.01
3358.1640296623723	3358.150390625	0.001	100	100	0.01
3359.3125299821822	3361.422607421875	0.001	100	100	0.01
3354.2151849757856	3361.468994140625	0.001	100	100	0.01
3355.1488486842104	3352.086181640625	0.001	100	100	0.01
3350.8853267201207	3352.050537109375	0.001	100	100	0.01
3352.276736967745	3354.827880859375	0.001	100	100	0.01
3352.1681357935854	3348.011962890625	0.001	100	100	0.01
3346.943906192891	3345.231201171875	0.001	100	100	0.01
3345.0559481793675	3343.751708984375	0.001	100	100	0.01
3345.5782092356544	3341.21142578125	0.001	100	100	0.01
3343.4897617987026	3339.5859375	0.001	100	100	0.01
3342.311830397935	3340.19775390625	0.001	100	100	0.01
3339.2597941794593	3335.890380859375	0.001	100	100	0.01
3340.1402352316336	3339.44873046875	0.001	100	100	0.01
3339.478645547789	3334.063720703125	0.001	100	100	0.01
3340.0820583767363	3335.100341796875	0.001	100	100	0.01
3339.01239549068	3335.16552734375	0.001	100	100	0.01
3337.584292763158	3332.341064453125	0.001	100	100	0.01
3335.8807737116226	3329.659912109375	0.001	100	100	0.01
3334.3341200086807	3328.811767578125	0.001	100	100	0.01
3333.5022072596857	3326.281005859375	0.001	100	100	0.01
3331.764344332511	3321.844482421875	0.001	100	100	0.01
3331.500245568348	3328.571044921875	0.001	100	100	0.01
3328.0937071683115	3322.71875	0.001	100	100	0.01
3329.5366011056285	3319.425048828125	0.001	100	100	0.01
3329.01348341557	3322.31640625	0.001	100	100	0.01
3327.9080446477524	3319.158447265625	0.001	100	100	0.01
3326.201238977979	3323.168212890625	0.001	100	100	0.01
3325.5615063048244	3317.932861328125	0.001	100	100	0.01
3324.5383743375364	3318.230712890625	0.001	100	100	0.01
3325.476442571272	3315.25830078125	0.001	100	100	0.01
3323.2633863304095	3316.4931640625	0.001	100	100	0.01
3321.6375953718934	3316.711181640625	0.001	100	100	0.01
3322.4927143297696	3316.69384765625	0.001	100	100	0.01
3320.9720052083335	3318.505615234375	0.001	100	100	0.01
3321.2227019371344	3314.75	0.001	100	100	0.01
3317.7966122989765	3313.708984375	0.001	100	100	0.01
3317.477543345669	3315.45751953125	0.001	100	100	0.01
3317.7560307017543	3316.997314453125	0.001	100	100	0.01
3317.6486559416117	3316.359619140625	0.001	100	100	0.01
3317.1997427243236	3313.5673828125	0.001	100	100	0.01
3314.9600051969114	3307.825927734375	0.001	100	100	0.01
3314.9352056492144	3311.347412109375	0.001	100	100	0.01
3314.3589952256943	3307.471435546875	0.001	100	100	0.01
3312.760558011239	3307.68115234375	0.001	100	100	0.01
3312.9952885142543	3306.6298828125	0.001	100	100	0.01
3312.4761213336074	3305.82763671875	0.001	100	100	0.01
3312.7004223204494	3308.950439453125	0.001	100	100	0.01
3311.1963061951756	3307.962890625	0.001	100	100	0.01
3310.8995239971673	3304.02197265625	0.001	100	100	0.01
3310.94299673337	3303.529296875	0.001	100	100	0.01
3308.6253526475693	3304.056884765625	0.001	100	100	0.01
3309.3756967288014	3303.572265625	0.001	100	100	0.01
3308.6128186677633	3307.27587890625	0.001	100	100	0.01
3307.1831440172696	3305.912841796875	0.001	100	100	0.01
3306.1484874703033	3306.4150390625	0.001	100	100	0.01
3305.2084618283993	3306.577392578125	0.001	100	100	0.01
3305.6562657049526	3303.893310546875	0.001	100	100	0.01
3305.766348855537	3303.154052734375	0.001	100	100	0.01
3305.7277132447	3305.071044921875	0.001	100	100	0.01
3303.977850306104	3301.275634765625	0.001	100	100	0.01
3303.6548251324925	3302.76220703125	0.001	100	100	0.01
3302.6423611111113	3298.050537109375	0.001	100	100	0.01
3301.7370733963817	3298.531005859375	0.001	100	100	0.01
