loss	val_loss	learning_rate	batch_size	epochs	kappa
3600.920166015625	3725.424560546875	0.001	100	100	0.01
3484.6108812477155	3558.1884765625	0.001	100	100	0.01
3452.964359751919	3464.44482421875	0.001	100	100	0.01
3434.0362941451936	3435.288818359375	0.001	100	100	0.01
3416.523743032712	3435.06982421875	0.001	100	100	0.01
3405.550407186586	3398.803955078125	0.001	100	100	0.01
3398.6028146130298	3399.158447265625	0.001	100	100	0.01
3390.4211268731724	3379.13525390625	0.001	100	100	0.01
3383.2390036778143	3381.5576171875	0.001	100	100	0.01
3377.5527586462904	3372.603515625	0.001	100	100	0.01
3373.9635331003287	3362.373291015625	0.001	100	100	0.01
3371.5840957373903	3369.744140625	0.001	100	100	0.01
3365.6986205340827	3363.270751953125	0.001	100	100	0.01
3362.599418060124	3359.1240234375	0.001	100	100	0.01
3358.0656352796054	3361.190185546875	0.001	100	100	0.01
3352.9409279628107	3356.505859375	0.001	100	100	0.01
3350.3675173040024	3346.418701171875	0.001	100	100	0.01
3346.864748949196	3344.22412109375	0.001	100	100	0.01
3342.2730991296603	3345.45849609375	0.001	100	100	0.01
3340.2487978572735	3339.24462890625	0.001	100	100	0.01
3339.886047720212	3339.017822265625	0.001	100	100	0.01
3333.9075777823464	3337.21142578125	0.001	100	100	0.01
3330.9183470965827	3333.14111328125	0.001	100	100	0.01
3329.1264205843386	3334.533447265625	0.001	100	100	0.01
3326.2062731291117	3327.206298828125	0.001	100	100	0.01
3324.3985974049706	3328.815185546875	0.001	100	100	0.01
3322.881400481999	3325.781005859375	0.001	100	100	0.01
3319.1165935672516	3321.48876953125	0.001	100	100	0.01
3317.126773231908	3313.498046875	0.001	100	100	0.01
3315.7233515510784	3320.02734375	0.001	100	100	0.01
3311.7591716922516	3316.3232421875	0.001	100	100	0.01
3310.6850828650404	3314.823974609375	0.001	100	100	0.01
3307.5240200109647	3313.498291015625	0.001	100	100	0.01
3307.208371881853	3311.484619140625	0.001	100	100	0.01
3304.0384300187316	3308.3466796875	0.001	100	100	0.01
3304.5444678591007	3304.81787109375	0.001	100	100	0.01
3302.9139682702853	3304.87109375	0.001	100	100	0.01
3301.531552677266	3306.60986328125	0.001	100	100	0.01
3300.4656090095027	3299.475341796875	0.001	100	100	0.01
3299.68896484375	3298.977294921875	0.001	100	100	0.01
3298.402220965826	3300.4423828125	0.001	100	100	0.01
3296.344178316886	3300.41064453125	0.001	100	100	0.01
3294.9536247030337	3297.53515625	0.001	100	100	0.01
3292.5481813665024	3291.77099609375	0.001	100	100	0.01
3290.791014197277	3294.720947265625	0.001	100	100	0.01
3289.736503734923	3293.981689453125	0.001	100	100	0.01
3288.6807725694443	3293.95654296875	0.001	100	100	0.01
3288.305184347588	3290.917724609375	0.001	100	100	0.01
3285.9121507789655	3290.215087890625	0.001	100	100	0.01
3285.0603998195356	3292.345703125	0.001	100	100	0.01
3284.4864409151132	3287.87060546875	0.001	100	100	0.01
3283.476502535636	3287.174072265625	0.001	100	100	0.01
3283.9064755802265	3289.72705078125	0.001	100	100	0.01
