ml_data_source	strain
GSM1141730_PA01_ZnO_PZO_.CEL	PAO1
GSM1141729_PA01_none_PC_.CEL	PAO1
GSM1608059_Planktonic_1.CEL	PAO1
GSM1608060_Planktonic_2.CEL	PAO1
GSM1608061_Planktonic_3.CEL	PAO1
GSM1608062_Planktonic_4.CEL	PAO1
GSM1608067_Biofilm+12hrcipro_rep1.CEL	PAO1
GSM1608068_Biofilm+12hrcipro_rep2.CEL	PAO1
GSM1608069_Biofilm+12hrcipro_rep3.CEL	PAO1
GSM1608070_Biofilm+12hrtobra_rep1.CEL	PAO1
GSM1608071_Biofilm+12hrtobra_rep2.CEL	PAO1
GSM1608072_Biofilm+12hrtobra_rep3.CEL	PAO1
GSM1608067_Biofilm+12hrcipro_rep1.CEL	PAO1
GSM1608068_Biofilm+12hrcipro_rep2.CEL	PAO1
GSM1608069_Biofilm+12hrcipro_rep3.CEL	PAO1
GSM1608070_Biofilm+12hrtobra_rep1.CEL	PAO1
GSM1608071_Biofilm+12hrtobra_rep2.CEL	PAO1
GSM1608072_Biofilm+12hrtobra_rep3.CEL	PAO1
GSM1608059_Planktonic_1.CEL	PAO1
GSM1608060_Planktonic_2.CEL	PAO1
GSM1608061_Planktonic_3.CEL	PAO1
GSM1608062_Planktonic_4.CEL	PAO1
GSM1310895_PA14_wild-type.CEL	PA14
GSM1310896_PA14_lasR_rhlR.CEL	PA14
GSM1310897_PA14_wild-type_+H2O2.CEL	PA14
GSM1310898_PA14_lasR_rhlR_+H2O2.CEL	PA14
Overhage13001_(Pae_G1a).CEL	PA14
Overhage13002_(Pae_G1a).CEL	PA14
Overhage13003_(Pae_G1a).CEL	PA14
Overhage13004_(Pae_G1a).CEL	PA14
GSM1246481_PA14bvlR_pME6032_rep1.CEL	PA14
GSM1246482_PA14bvlR_pME6032_rep2.CEL	PA14
GSM1246483_PA14bvlR_pME6032_rep3.CEL	PA14
GSM1246484_PA14bvlR_pMEbvlR_rep1.CEL	PA14
GSM1246485_PA14bvlR_pMEbvlR_rep2.CEL	PA14
GSM1246486_PA14bvlR_pMEbvlR_rep3.CEL	PA14
GSM1146022_pJN105_1.CEL	PAO1
GSM1146023_pJN105_2.CEL	PAO1
GSM1146024_phaF_1.CEL	PAO1
GSM1146025_phaF_2.CEL	PAO1
GSM1420990_PAO1_control1.CEL	PAO1
GSM1420991_PAO1_control2.CEL	PAO1
GSM1420992_PAO1_NO1.CEL	PAO1
GSM1420993_PAO1_NO2.CEL	PAO1
GSM1420994_anr_control1.CEL	NA
GSM1420995_anr_control2.CEL	NA
GSM1420996_anr_NO1.CEL	NA
GSM1420997_anr_NO2.CEL	NA
GSM1420998_dnr_control1.CEL	NA
GSM1420999_dnr_control2.CEL	NA
GSM1421000_dnr_NO1.CEL	NA
GSM1421001_dnr_NO2.CEL	NA
GSM1421002_EXdnr_control1.CEL	NA
GSM1421003_EXdnr_control2.CEL	NA
GSM1421004_EXdnr_NO1.CEL	NA
GSM1421005_EXdnr_NO2.CEL	NA
GSM1421006_fhpR_control1.CEL	NA
GSM1421007_fhpR_control2.CEL	NA
GSM1421008_fhpR_NO1.CEL	NA
GSM1421009_fhpR_NO2.CEL	NA
GSM1553187_Persisters_C1.CEL	PAO1
GSM1553188_Persisters_T1.CEL	PAO1
GSM1553189_Persisters_C2.CEL	PAO1
GSM1553190_Persisters_T2.CEL	PAO1
GSM1553191_Normal_C1.CEL	PAO1
GSM1553192_Normal_T1.CEL	PAO1
GSM1553193_Normal_C2.CEL	PAO1
GSM1553194_Normal_T2.CEL	PAO1
Overhage3004_(Pae_G1a).CEL	PA14
Overhage3006_(Pae_G1a).CEL	PA14
Overhage3002_(Pae_G1a).CEL	PA14
Overhage3005_(Pae_G1a).CEL	PA14
120330-10978D_22_(Pae_G1a).CEL	NA
120330-10978D_23_(Pae_G1a).CEL	NA
120330-10978D_24_(Pae_G1a).CEL	NA
120330-10978D_M1_(Pae_G1a).CEL	NA
120330-10978D_M3_(Pae_G1a).CEL	NA
120330-10978D_M4_(Pae_G1a).CEL	NA
GSM1517347_MK-1.CEL	PAO1
GSM1517348_MK-2.CEL	PAO1
GSM1517349_MK-3.CEL	PAO1
GSM1517350_MK-4.CEL	PAO1
GSM1517351_MK-5.CEL	PAO1
GSM1517352_MK-6.CEL	PAO1
GSM807322.CEL	NA
GSM807323.CEL	NA
GSM807324.CEL	NA
GSM807325.CEL	NA
GSM807326.CEL	NA
GSM807327.CEL	NA
GSM1419138_PAO.CEL	PAO1
GSM1419139_PAO2.CEL	PAO1
GSM1419140_PAO3.CEL	PAO1
GSM1419141_BC.CEL	PAO1
GSM1419142_BC2.CEL	PAO1
GSM1419143_BC3.CEL	PAO1
GSM1419144_PAO_FOX.CEL	PAO1
GSM1419145_PAO2_FOX.CEL	PAO1
GSM1419146_PAO3_FOX.CEL	PAO1
