ml_data_source	treatment
GSM1141730_PA01_ZnO_PZO_.CEL	NA
GSM1141729_PA01_none_PC_.CEL	NA
GSM1608059_Planktonic_1.CEL	NA
GSM1608060_Planktonic_2.CEL	NA
GSM1608061_Planktonic_3.CEL	NA
GSM1608062_Planktonic_4.CEL	NA
GSM1608067_Biofilm+12hrcipro_rep1.CEL	ciprofloxacin
GSM1608068_Biofilm+12hrcipro_rep2.CEL	ciprofloxacin
GSM1608069_Biofilm+12hrcipro_rep3.CEL	ciprofloxacin
GSM1608070_Biofilm+12hrtobra_rep1.CEL	tobramycin
GSM1608071_Biofilm+12hrtobra_rep2.CEL	tobramycin
GSM1608072_Biofilm+12hrtobra_rep3.CEL	tobramycin
GSM1608067_Biofilm+12hrcipro_rep1.CEL	ciprofloxacin
GSM1608068_Biofilm+12hrcipro_rep2.CEL	ciprofloxacin
GSM1608069_Biofilm+12hrcipro_rep3.CEL	ciprofloxacin
GSM1608070_Biofilm+12hrtobra_rep1.CEL	tobramycin
GSM1608071_Biofilm+12hrtobra_rep2.CEL	tobramycin
GSM1608072_Biofilm+12hrtobra_rep3.CEL	tobramycin
GSM1608059_Planktonic_1.CEL	NA
GSM1608060_Planktonic_2.CEL	NA
GSM1608061_Planktonic_3.CEL	NA
GSM1608062_Planktonic_4.CEL	NA
GSM1310895_PA14_wild-type.CEL	NA
GSM1310896_PA14_lasR_rhlR.CEL	NA
GSM1310897_PA14_wild-type_+H2O2.CEL	NA
GSM1310898_PA14_lasR_rhlR_+H2O2.CEL	NA
Overhage13001_(Pae_G1a).CEL	NA
Overhage13002_(Pae_G1a).CEL	NA
Overhage13003_(Pae_G1a).CEL	NA
Overhage13004_(Pae_G1a).CEL	NA
GSM1246481_PA14bvlR_pME6032_rep1.CEL	NA
GSM1246482_PA14bvlR_pME6032_rep2.CEL	NA
GSM1246483_PA14bvlR_pME6032_rep3.CEL	NA
GSM1246484_PA14bvlR_pMEbvlR_rep1.CEL	NA
GSM1246485_PA14bvlR_pMEbvlR_rep2.CEL	NA
GSM1246486_PA14bvlR_pMEbvlR_rep3.CEL	NA
GSM1146022_pJN105_1.CEL	NA
GSM1146023_pJN105_2.CEL	NA
GSM1146024_phaF_1.CEL	NA
GSM1146025_phaF_2.CEL	NA
GSM1420990_PAO1_control1.CEL	NA
GSM1420991_PAO1_control2.CEL	NA
GSM1420992_PAO1_NO1.CEL	NA
GSM1420993_PAO1_NO2.CEL	NA
GSM1420994_anr_control1.CEL	NA
GSM1420995_anr_control2.CEL	NA
GSM1420996_anr_NO1.CEL	NA
GSM1420997_anr_NO2.CEL	NA
GSM1420998_dnr_control1.CEL	NA
GSM1420999_dnr_control2.CEL	NA
GSM1421000_dnr_NO1.CEL	NA
GSM1421001_dnr_NO2.CEL	NA
GSM1421002_EXdnr_control1.CEL	NA
GSM1421003_EXdnr_control2.CEL	NA
GSM1421004_EXdnr_NO1.CEL	NA
GSM1421005_EXdnr_NO2.CEL	NA
GSM1421006_fhpR_control1.CEL	NA
GSM1421007_fhpR_control2.CEL	NA
GSM1421008_fhpR_NO1.CEL	NA
GSM1421009_fhpR_NO2.CEL	NA
GSM1553187_Persisters_C1.CEL	NA
GSM1553188_Persisters_T1.CEL	NA
GSM1553189_Persisters_C2.CEL	NA
GSM1553190_Persisters_T2.CEL	NA
GSM1553191_Normal_C1.CEL	NA
GSM1553192_Normal_T1.CEL	NA
GSM1553193_Normal_C2.CEL	NA
GSM1553194_Normal_T2.CEL	NA
Overhage3004_(Pae_G1a).CEL	NA
Overhage3006_(Pae_G1a).CEL	NA
Overhage3002_(Pae_G1a).CEL	NA
Overhage3005_(Pae_G1a).CEL	NA
120330-10978D_22_(Pae_G1a).CEL	NA
120330-10978D_23_(Pae_G1a).CEL	NA
120330-10978D_24_(Pae_G1a).CEL	NA
120330-10978D_M1_(Pae_G1a).CEL	NA
120330-10978D_M3_(Pae_G1a).CEL	NA
120330-10978D_M4_(Pae_G1a).CEL	NA
GSM1517347_MK-1.CEL	NA
GSM1517348_MK-2.CEL	NA
GSM1517349_MK-3.CEL	NA
GSM1517350_MK-4.CEL	NA
GSM1517351_MK-5.CEL	NA
GSM1517352_MK-6.CEL	NA
GSM807322.CEL	NA
GSM807323.CEL	NA
GSM807324.CEL	NA
GSM807325.CEL	NA
GSM807326.CEL	NA
GSM807327.CEL	NA
GSM1419138_PAO.CEL	NA
GSM1419139_PAO2.CEL	NA
GSM1419140_PAO3.CEL	NA
GSM1419141_BC.CEL	NA
GSM1419142_BC2.CEL	NA
GSM1419143_BC3.CEL	NA
GSM1419144_PAO_FOX.CEL	cefoxitin
GSM1419145_PAO2_FOX.CEL	cefoxitin
GSM1419146_PAO3_FOX.CEL	cefoxitin
GSM1419147_BC_FOX.CEL	cefoxitin
GSM1419148_BC2_FOX.CEL	cefoxitin
GSM1419149_BC3_FOX.CEL	cefoxitin
GSM1419150_PAO_CAZ.CEL	NA
GSM1419151_PAO2_CAZ.CEL	NA
GSM1419152_PAO3_CAZ.CEL	NA
GSM1419153_BC_CAZ.CEL	NA
GSM1419154_BC2_CAZ.CEL	NA
GSM1419155_BC3_CAZ.CEL	NA
20mM_KT2440.CEL	NA
2mM_KT2440.CEL	NA
20mM_CF600.CEL	NA
2mM_CF600.CEL	NA
GSM740019.CEL	NA
GSM740020.CEL	NA
0.1_12hr_CSV86(Pae_G1a).CEL	NA
0.1_2hr_CSV86(Pae_G1a).CEL	NA
0.1_6hr_CSV86(Pae_G1a).CEL	NA
0.1_7hr_CSV86(Pae_G1a).CEL	NA
0.1_9hr_CSV86(Pae_G1a).CEL	NA
1_12hr_CSV86(Pae_G1a).CEL	NA
1_2hr_CSV86(Pae_G1a).CEL	NA
1_6hr_CSV86(Pae_G1a).CEL	NA
1_7hr_CSV86(Pae_G1a).CEL	NA
1_9hr_CSV86(Pae_G1a).CEL	NA
Glu_6Hour_(Pae_G1a).CEL	NA
GSM1306125_Nomura_PAO1_NS-1_Pae_G1a_.CEL	NA
GSM1306126_Nomura_PAO1_NS-2_Pae_G1a_.CEL	NA
GSM1306127_Nomura_PAO1_NS-3_Pae_G1a_.CEL	NA
GSM1306128_Nomura_PAO1_KG-1_Pae_G1a_.CEL	NA
GSM1306129_Nomura_PAO1_KG-2_Pae_G1a_.CEL	NA
GSM1306130_Nomura_PAO1_KG-3_Pae_G1a_.CEL	NA
GSM1143375_A1_Pae_G1a_.CEL	NA
GSM1143376_A2_Pae_G1a_.CEL	NA
GSM1143377_A3_Pae_G1a_.CEL	NA
GSM1143378_B1_Pae_G1a_.CEL	NA
GSM1143379_B2_Pae_G1a_.CEL	NA
GSM1143380_B3_Pae_G1a_.CEL	NA
GSM1143381_WT1_Pae_G1a_.CEL	NA
GSM1143382_WT2_Pae_G1a_.CEL	NA
GSM1143383_WT3_Pae_G1a_.CEL	NA
GSM980539_MHH1372.CEL	NA
GSM980540_MHH1373.CEL	NA
GSM980541_MHH1376.CEL	NA
GSM980542_MHH1377.CEL	NA
GSM1244967_PAO1-22-replicate-01.CEL	ciprofloxacin
GSM1244968_PAO1-22-replicate-02.CEL	ciprofloxacin
GSM1244969_PAO1-22-replicate-03.CEL	ciprofloxacin
GSM1244970_PAO1-37-replicate-01.CEL	ciprofloxacin
GSM1244971_PAO1-37-replicate-02.CEL	ciprofloxacin
GSM1244972_PAO1-37-replicate-03.CEL	ciprofloxacin
GSM1237734_M9_H103_2_51059600653056031211409890238138.CEL	NA
GSM1237735_M9_H103_3_51059600653061050411410396750551.CEL	NA
GSM1237736_M9_H103_4_51059600653061050411410396750502.CEL	NA
GSM1237737_M9_PAOSX_1_51059600653060050411410396750419.CEL	NA
GSM1237738_M9_PAOSX_3_51059600653060050411410396750359.CEL	NA
GSM1237739_M9_PAOSX_4_51059600653061050411410396750526.CEL	NA
Overhage11002_Pae_G1a.CEL	NA
Overhage5002_Pae_G1a.CEL	NA
Overhage11001_Pae_G1a.CEL	NA
Overhage5001_Pae_G1a.CEL	NA
GSM838206_OXYR-LB-1_Pae_G1a.CEL	NA
GSM838207_OXYR-LB-2_Pae_G1a.CEL	NA
