ml_data_source	treatment
GSM838208_OXYR-LB-4_Pae_G1a.CEL	NA
GSM838209_OXYR-PM-1_Pae_G1a.CEL	NA
GSM838210_OXYR-PM-3_Pae_G1a.CEL	NA
GSM838211_OXYR-PM-4_Pae_G1a.CEL	NA
GSM838212_PAO1-LB-1_Pae_G1a.CEL	NA
GSM838213_PAO1-LB-2_Pae_G1a.CEL	NA
GSM838214_PAO1-LB-3_Pae_G1a.CEL	NA
GSM838215_PAO1-PM-1_Pae_G1a.CEL	NA
GSM838216_PAO1-PM-3_Pae_G1a.CEL	NA
GSM838217_PAO1-PM-4_Pae_G1a.CEL	NA
GSM838218_PAO1-5344-1_Pae_G1a.CEL	NA
GSM838219_PAO1-5344-3_Pae_G1a.CEL	NA
GSM838220_PAO1-5344-4_Pae_G1a.CEL	NA
GSM591496.CEL	NA
GSM591601.CEL	NA
GSM591602.CEL	NA
GSM591624.CEL	NA
GSM591625.CEL	NA
GSM591627.CEL	NA
GSM1267086_HZI1981_G1a.CEL	NA
GSM1267087_HZI1950_Pae_G1a.CEL	NA
GSM1267088_HZI1951_Pae_G1a.CEL	NA
GSM1267089_HZI1952_Pae_G1a.CEL	NA
GSM1267090_HZI1953a_Pae_G1a.CEL	NA
GSM1267091_HZI1954_Pae_G1a.CEL	NA
GSM1267092_HZI1955_Pae_G1a.CEL	NA
GSM1267093_HZI1956_Pae_G1a.CEL	NA
GSM1267094_HZI1958_Pae_G1a.CEL	NA
GSM1267095_HZI1959_Pae_G1a.CEL	NA
GSM1267096_HZI1960a_Pae_G1a.CEL	NA
GSM1267097_HZI1961_Pae_G1a.CEL	NA
GSM1267098_HZI1962_Pae_G1a.CEL	NA
GSM1267099_HZI1963_Pae_G1a.CEL	NA
GSM1267100_HZI1966_Pae_G1a.CEL	NA
GSM1267101_HZI1967_Pae_G1a.CEL	NA
GSM1267102_HZI1968_Pae_G1a.CEL	NA
GSM1267103_HZI1969_Pae_G1a.CEL	NA
GSM1267104_HZI1970_Pae_G1a.CEL	NA
GSM1267105_HZI1971_Pae_G1a.CEL	NA
GSM1267106_HZI1972_Pae_G1a.CEL	NA
GSM1267107_HZI1973_Pae_G1a.CEL	NA
GSM1267108_HZI1974_G1a.CEL	NA
GSM1267109_HZI1975_G1a.CEL	NA
GSM1267110_HZI1976_G1a.CEL	NA
GSM1267111_HZI1977_G1a.CEL	NA
GSM1267112_HZI1978_G1a.CEL	NA
GSM1267113_HZI1979_G1a.CEL	NA
GSM1191066_sphR-pyr-1.CEL	NA
GSM1191067_sphR-pyr-2.CEL	NA
GSM1191068_sphR-surf-1.CEL	NA
GSM1191069_sphR-surf-2.CEL	NA
GSM1191070_WT-pyr-1.CEL	NA
GSM1191071_WT-pyr-2.CEL	NA
GSM1191072_WT-surf-1.CEL	NA
GSM1191073_WT-surf-2.CEL	NA
GSM1206643_WT-PYR-1.CEL	NA
GSM1206644_WT-PYR-2.CEL	NA
GSM1206645_WT-CHO-1.CEL	NA
GSM1206646_WT-CHO-2.CEL	NA
GSM1206647_WT-DTC-1.CEL	NA
GSM1206648_WT-DTC-2.CEL	NA
GSM1206649_WT-ETC-1.CEL	NA
GSM1206650_WT-ETC-2.CEL	NA
GSM1206651_WT-PRC-1.CEL	NA
GSM1206652_WT-PRC-2.CEL	NA
GSM1206653_dgcA-CHO-1.CEL	NA
GSM1206654_dgcA-CHO-2.CEL	NA
GSM1181847_gc_WT1_1.CEL	NA
GSM1181848_gc_WT2_3.CEL	NA
GSM1181849_gc_Delta1_2.CEL	NA
GSM1181850_gc_Delta2_4.CEL	NA
control1aerobic_Pae_G1a.CEL	NA
control2aerobic_Pae_G1a.CEL	NA
control3aerobic_Pae_G1a.CEL	NA
control1_anaerobic_Pae_G1a.CEL	NA
control2_anaerobic_Pae_G1a.CEL	NA
control3_anaerobic_Pae_G1a.CEL	NA
fos1aerobic_Pae_G1a.CEL	fosfomycin
fos2aerobic_Pae_G1a.CEL	fosfomycin
Fos3_aerobic_wdh_Pae_G1a.CEL	fosfomycin
fos1_anaerobic_Pae_G1a.CEL	fosfomycin
fos2_anaerobic_Pae_G1a.CEL	fosfomycin
fos3_anaerobic_Pae_G1a.CEL	fosfomycin
FT1aerobic_Pae_G1a.CEL	tobramycin
FT2_aerobic_wdh_Pae_G1a.CEL	tobramycin
FT3aerobic_Pae_G1a.CEL	tobramycin
FT1_anaerobic_Pae_G1a.CEL	tobramycin
FT2_anaerobic_Pae_G1a.CEL	tobramycin
FT3_anaerobic_Pae_G1a.CEL	tobramycin
Tob1_aerobic_wdh_Pae_G1a.CEL	tobramycin
Tob2_aerobic_wdh_Pae_G1a.CEL	tobramycin
Tob3aerobic_Pae_G1a.CEL	tobramycin
Tob1_anaerobic_Pae_G1a.CEL	tobramycin
Tob2_anaerobic_Pae_G1a.CEL	tobramycin
Tob3_anaerobic_Pae_G1a.CEL	tobramycin
GSM1177842_PAO1-1.CEL	NA
GSM1177843_PAO1-2.CEL	NA
GSM1177844_PAO1-3.CEL	NA
GSM1177845_PAO1-AMV-1.CEL	NA
GSM1177846_PAO1-AMV-2.CEL	NA
GSM1177847_PAO1-AMV-3.CEL	NA
GSM821084_HZI0139_Pae_G1a.CEL	NA
GSM821085_HZI0140_Pae_G1a.CEL	NA
GSM821086_HZI0141_Pae_G1a.CEL	NA
GSM821087_HZI0142_Pae_G1a.CEL	NA
GSM821088_HZI0143_Pae_G1a.CEL	NA
GSM821089_HZI0144_Pae_G1a.CEL	NA
GSM821090_HZI0145_Pae_G1a.CEL	NA
GSM821091_HZI0146_Pae_G1a.CEL	NA
GSM821092_HZI0148_Pae_G1a.CEL	NA
GSM821093_HZI0149_Pae_G1a.CEL	NA
GSM821094_HZI0147_Pae_G1a.CEL	NA
GSM821095_HZI0150_Pae_G1a.CEL	NA
GSM1133186_Weiqing_He_L-Glu-1_021810.CEL	NA
GSM1133187_Weiqing_He_L-Arg-1_021810.CEL	NA
GSM1133188_Weiqing_He_D-Glu-1_021810.CEL	NA
GSM1133189_Weiqing_He_L-Glu-2_022410.CEL	NA
GSM1133190_Weiqing_He_L-Arg-2_022410.CEL	NA
GSM1133191_Weiqing_He_D-Glu-2_022410.CEL	NA
Van_Delden_Kohler_0311_BAL6_1.CEL	NA
Van_Delden_Kohler_0311_BAL6_2.CEL	NA
Van_Delden_Kohler_0311_BAL6_3.CEL	NA
Van_Delden_Kohler_0311_BAL6+_1.CEL	NA
Van_Delden_Kohler_0311_BAL6+_2.CEL	NA
Van_Delden_Kohler_0311_BAL6+_3.CEL	NA
Van_Delden_Kohler_0311_PT5_1.CEL	NA
Van_Delden_Kohler_0311_PT5_2.CEL	NA
Van_Delden_Kohler_0311_PT5_3.CEL	NA
GSM1112046_PGAS_25_1A.CEL	NA
GSM1112047_PGAS_25_2A.CEL	NA
GSM1112048_PGAS_25_4A.CEL	NA
GSM1112049_PGAS_37_1B.CEL	NA
GSM1112050_PGAS_37_2B.CEL	NA
GSM1112051_PGAS_37_3A.CEL	NA
GSM698080.CEL	NA
GSM698081.CEL	NA
GSM1067456_PAO1_CK_1.CEL	NA
GSM1067457_PAO1_PAA_1.CEL	NA
GSM1067458_PAO1_CK_2.CEL	NA
GSM1067459_PAO1_PAA_2.CEL	NA
GSM871963.CEL	NA
GSM871964.CEL	NA
GSM871965.CEL	NA
GSM871966.CEL	NA
GSM871967.CEL	NA
GSM871968.CEL	NA
GSM871969.CEL	NA
GSM871970.CEL	NA
GSM871971.CEL	NA
GSM871972.CEL	NA
GSM871973.CEL	NA
GSM871974.CEL	NA
GSM871975.CEL	NA
GSM871976.CEL	NA
GSM871977.CEL	NA
GSM871978.CEL	NA
GSM1027584_062508WT.CEL	NA
GSM1027585_071008WT.CEL	NA
GSM1027586_062508plcHR.CEL	NA
GSM1027587_071008plcHR.CEL	NA
GSM1027588_062508gbdR.CEL	NA
GSM1027589_071008gbdR.CEL	NA
GSM573322.CEL	NA
GSM573323.CEL	NA
GSM573324.CEL	NA
GSM573325.CEL	NA
GSM573326.CEL	NA
GSM573327.CEL	NA
GSM637573.CEL	NA
GSM637574.CEL	NA
GSM637575.CEL	NA
GSM637576.CEL	NA
GSM637577.CEL	NA
GSM637578.CEL	NA
GSM637579.CEL	NA
GSM637580.CEL	NA
GSM637581.CEL	NA
GSM637582.CEL	NA
GSM637583.CEL	NA
GSM637584.CEL	NA
GSM637585.CEL	NA
GSM637586.CEL	NA
GSM637587.CEL	NA
GSM637588.CEL	NA
GSM637589.CEL	NA
GSM637590.CEL	NA
GSM637591.CEL	NA
GSM637592.CEL	NA
GSM637593.CEL	NA
GSM637594.CEL	NA
GSM637595.CEL	NA
GSM637596.CEL	NA
GSM637597.CEL	NA
GSM637598.CEL	NA
GSM954576_Nomura_PA01-1_Pae_G1a_.CEL	NA
GSM954577_Nomura_PA01-2_Pae_G1a_.CEL	NA
GSM954578_Nomura_PA01-3_Pae_G1a_.CEL	NA
GSM954579_Nomura_PA01-4_Pae_G1a_.CEL	NA
GSM954580_Nomura_PA2449-1_Pae_G1a_.CEL	NA
GSM954581_Nomura_PA2449-2_Pae_G1a_.CEL	NA
GSM954582_Nomura_PA2449-3_Pae_G1a_.CEL	NA
GSM954583_Nomura_PA2449-4_Pae_G1a_.CEL	NA
GSM994496_PAO1-replicate-01.CEL	NA
GSM994497_PAO1-replicate-02.CEL	NA
GSM994498_PAO1-replicate-03.CEL	NA
GSM994499_HM4-replicate-01.CEL	NA
GSM994500_HM4-replicate-02.CEL	NA
GSM994501_HM4-replicate-03.CEL	NA
GSM897995_MHH0094_Pae_G1a.CEL	NA
GSM897996_MHH0095_Pae_G1a.CEL	NA
GSM897997_MHH0106_Pae_G1a.CEL	NA
GSM897998_MHH0107_Pae_G1a.CEL	NA
GSM897999_MHH0110_Pae_G1a.CEL	NA
GSM898000_MHH0111_Pae_G1a.CEL	NA
GSM898001_MHH0122_Pae_G1a.CEL	NA
GSM898002_MHH0123_Pae_G1a.CEL	NA
GSM856031_PA01.CEL	NA
GSM856032_PA01+V12.CEL	NA
MBU_PAER_pak1.CEL	NA
MBU_PAER_pak2.CEL	NA
MBU_JGOLD_pakA1.CEL	NA
MBU_JGOLD_pakA2.CEL	NA
MBU_JGOLD_PAO11.CEL	NA
MBU_JGOLD_PAO12.CEL	NA
MBU_PAER_PT51.CEL	NA
MBU_PAER_PT52.CEL	NA
GSM685447.CEL	NA
GSM685448.CEL	NA
GSM685449.CEL	NA
GSM685450.CEL	NA
GSM735748_PA14_WT.CEL	NA
GSM735749_PA14_WT_adenosine.CEL	NA
GSM741203.CEL	NA
GSM741204.CEL	NA
GSM741205.CEL	NA
GSM741206.CEL	phosphate
GSM741207.CEL	phosphate
GSM741208.CEL	phosphate
GSM741209.CEL	NA
GSM741210.CEL	NA
GSM741211.CEL	NA
GSM741212.CEL	phosphate
GSM741213.CEL	phosphate
GSM741214.CEL	phosphate
GSM854792.CEL	NA
GSM854793.CEL	NA
GSM854794.CEL	NA
GSM854795.CEL	NA
GSM854796.CEL	NA
GSM854797.CEL	NA
GSM854798.CEL	NA
GSM854799.CEL	NA
GSM854800.CEL	NA
GSM854801.CEL	NA
GSM717419.CEL	NA
GSM717420.CEL	NA
GSM717421.CEL	NA
GSM865129_schurr_5511_Pae_G1a_.CEL	NA
GSM865130_schurr_5511_1_Pae_G1a_.CEL	NA
GSM865131_schurr_5511_3_Pae_G1a_.CEL	NA
GSM794226_A27.CEL	NA
GSM794227_A28.CEL	NA
GSM794228_A29.CEL	NA
GSM794229_A30.CEL	NA
GSM794230_A31.CEL	NA
GSM794231_A32.CEL	NA
GSM822689_wtBSM_A.CEL	succinate
GSM822690_wtBSM_B.CEL	succinate
GSM822691_delta_crcBSM_A.CEL	succinate
GSM822692_delta_crcBSM_B.CEL	succinate
GSM822693_delta_cbrBBSM_A.CEL	succinate
GSM822694_delta_cbrBBSM_B.CEL	succinate
GSM822695_delta_crcZBSM_A.CEL	succinate
GSM822696_delta_crcZBSM_B.CEL	succinate
GSM822708_wtLB_A.CEL	NA
GSM822709_wtLB_B.CEL	NA
GSM822710_delta_crcLB_A.CEL	NA
GSM822711_delta_crcLB_B.CEL	NA
GSM822712_delta_cbrBLB_A.CEL	NA
GSM822713_delta_cbrBLB_B.CEL	NA
GSM822714_delta_crcZLB_A.CEL	NA
GSM822715_delta_crcZLB_B.CEL	NA
GSM823341.CEL	NA
GSM823342.CEL	NA
GSM823343.CEL	NA
GSM823344.CEL	NA
GSM823345.CEL	NA
GSM823346.CEL	NA
GSM823347.CEL	NA
GSM823348.CEL	NA
GSM822708_wtLB_A.CEL	NA
GSM822709_wtLB_B.CEL	NA
GSM822710_delta_crcLB_A.CEL	NA
GSM822711_delta_crcLB_B.CEL	NA
GSM822712_delta_cbrBLB_A.CEL	NA
GSM822713_delta_cbrBLB_B.CEL	NA
GSM822714_delta_crcZLB_A.CEL	NA
GSM822715_delta_crcZLB_B.CEL	NA
GSM822689_wtBSM_A.CEL	succinate
GSM822690_wtBSM_B.CEL	succinate
GSM822691_delta_crcBSM_A.CEL	succinate
GSM822692_delta_crcBSM_B.CEL	succinate
GSM822693_delta_cbrBBSM_A.CEL	succinate
GSM822694_delta_cbrBBSM_B.CEL	succinate
GSM822695_delta_crcZBSM_A.CEL	succinate
GSM822696_delta_crcZBSM_B.CEL	succinate
GSM821495.CEL	NA
GSM821496.CEL	NA
GSM821497.CEL	NA
GSM821498.CEL	NA
GSM821499.CEL	NA
GSM821500.CEL	NA
GSM821501.CEL	NA
GSM821502.CEL	NA
GSM821503.CEL	NA
GSM821504.CEL	NA
GSM821505.CEL	NA
GSM821506.CEL	NA
GSM900177_F1_Pae_G1a_.CEL	ciprofloxacin
GSM900178_C1_Pae_G1a_.CEL	ciprofloxacin
GSM900179_F2_Pae_G1a_.CEL	ciprofloxacin
GSM900180_C2_Pae_G1a_.CEL	ciprofloxacin
GSM900181_F3_Pae_G1a_.CEL	ciprofloxacin
GSM900182_C3_Pae_G1a_.CEL	ciprofloxacin
GSM864516.CEL	NA
GSM864517.CEL	NA
GSM864518.CEL	NA
GSM864519.CEL	NA
GSM864520.CEL	NA
GSM864521.CEL	NA
Pae_Fe02_13.CEL	NA
Pae_Fe02_14.CEL	NA
Pae_Fe02_15.CEL	NA
Pae_Fe03_16.CEL	NA
Pae_Fe03_17.CEL	NA
Pae_Fe03_18.CEL	NA
Pae_noFe_10.CEL	NA
Pae_noFe_11.CEL	NA
Pae_noFe_12.CEL	NA
GSM591496.CEL	NA
GSM591601.CEL	NA
GSM591602.CEL	NA
GSM591603.CEL	NA
GSM591622.CEL	NA
GSM591623.CEL	NA
GSM591624.CEL	NA
GSM591625.CEL	NA
GSM591627.CEL	NA
GSM597216.CEL	NA
GSM597217.CEL	NA
GSM597218.CEL	NA
GSM597219.CEL	NA
GSM597220.CEL	NA
GSM597221.CEL	NA
GSM597329.CEL	NA
GSM597330.CEL	NA
GSM597331.CEL	NA
GSM711446.CEL	NA
GSM711447.CEL	NA
GSM711448.CEL	NA
GSM711449.CEL	NA
GSM711450.CEL	NA
GSM711451.CEL	NA
GSM711452.CEL	NA
GSM711453.CEL	NA
GSM711454.CEL	NA
GSM711455.CEL	NA
GSM842839_Wright_1_WT-log-1_Pae_G1a.CEL	NA
GSM842840_Wright_2_WT-log-2_Pae_G1a.CEL	NA
GSM842841_Wright_3_WT-log-3_Pae_G1a.CEL	NA
GSM842842_Wright_4_WT-stat-1_Pae_G1a.CEL	NA
GSM842843_Wright_5_WT-stat-2_Pae_G1a.CEL	NA
GSM842844_Wright_6_WT-stat-3_Pae_G1a.CEL	NA
GSM842845_Wright_7_4203-log-1_Pae_G1a.CEL	NA
GSM842846_Wright_8_4203-log-2_Pae_G1a.CEL	NA
GSM842847_Wright_9_4203-log-3_Pae_G1a.CEL	NA
GSM842848_Wright_10_4203-stat-1_Pae_G1a.CEL	NA
GSM842849_Wright_11_4203-stat-2_Pae_G1a.CEL	NA
GSM842850_Wright_12_4203-stat-3_Pae_G1a.CEL	NA
GSM663165_Mix_label_cDNA_5-13-08_s2.CEL	NA
GSM663166_BM-Mix-Ec2_6-6-08_s1.CEL	NA
GSM663167_Ec_label_cDNA_5-13-08_s2.CEL	NA
GSM663168_BM-Mix-Pa_1_6-6-08_s1.CEL	NA
GSM663169_BM-Mix-Pa_2_6-6-08_s1.CEL	NA
GSM663170_Pa_label_cDNA_5-13-08_s2.CEL	NA
GSM641845.CEL	NA
GSM641846.CEL	NA
GSM641847.CEL	NA
GSM641848.CEL	NA
GSM641849.CEL	NA
GSM663157_02_mix_2w1_e_coli_5-10-07_S2.CEL	NA
GSM663158_E_coli_mix2_5-22-07_S2.CEL	NA
GSM663159_01_e_coli_5-10-07_S2.CEL	NA
GSM663160_E_coli_5-22-07_S2.CEL	NA
GSM663161_03_mix_1wP_Pae_5-10-07_S2.CEL	NA
GSM663162_Pae-Mix-1_5-22-07_S2.CEL	NA
GSM663163_04_Pae_5-10-07_S2.CEL	NA
GSM663164_Pae_5-22-07_S2.CEL	NA
GSM625973.CEL	NA
GSM625974.CEL	NA
GSM625975.CEL	NA
GSM625976.CEL	NA
GSM625977.CEL	NA
GSM625978.CEL	NA
GSM625979.CEL	NA
GSM625980.CEL	NA
GSM625981.CEL	NA
GSM625982.CEL	NA
GSM738261.CEL	NA
GSM738262.CEL	NA
GSM738263.CEL	NA
GSM738264.CEL	NA
GSM738265.CEL	NA
GSM738266.CEL	NA
GSM596626.CEL	NA
GSM596819.CEL	NA
GSM567666.CEL	NA
GSM567667.CEL	NA
GSM567668.CEL	NA
GSM567669.CEL	NA
GSM567670.CEL	NA
GSM567671.CEL	NA
GSM567672.CEL	NA
GSM567673.CEL	NA
GSM567674.CEL	NA
GSM567675.CEL	NA
GSM567676.CEL	NA
GSM567677.CEL	NA
GSM567678.CEL	NA
GSM567679.CEL	NA
GSM567680.CEL	NA
GSM567681.CEL	NA
GSM567682.CEL	NA
GSM567683.CEL	NA
GSM567684.CEL	NA
GSM567685.CEL	NA
GSM567686.CEL	NA
GSM567687.CEL	NA
GSM567688.CEL	NA
GSM567689.CEL	NA
GSM567690.CEL	NA
GSM567691.CEL	NA
GSM567692.CEL	NA
GSM567693.CEL	NA
GSM567694.CEL	NA
GSM567695.CEL	NA
GSM774085_CF30-1979a.CEL	NA
GSM774086_CF30-1979b.CEL	NA
GSM774087_CF30-1979c.CEL	NA
GSM774088_CF43-1973a.CEL	NA
GSM774089_CF43-1973b.CEL	NA
GSM774090_CF43-1973c.CEL	NA
GSM774091_CF66-1973a.CEL	NA
GSM774092_CF66-1973b.CEL	NA
GSM774093_CF66-1973c.CEL	NA
GSM774094_CF66-1992a.CEL	NA
GSM774095_CF66-1992b.CEL	NA
GSM774096_CF66-1992c.CEL	NA
GSM774097_CF66-2008a.CEL	NA
GSM774098_CF66-2008b.CEL	NA
GSM774099_CF66-2008c.CEL	NA
GSM774100_CF105-1973a.CEL	NA
GSM774101_CF105-1973b.CEL	NA
GSM774102_CF105-1973c.CEL	NA
GSM774103_CF114-1973a.CEL	NA
GSM774104_CF114-1973b.CEL	NA
GSM774105_CF114-1973c.CEL	NA
GSM774106_CF173-1984a.CEL	NA
GSM774107_CF173-1984b.CEL	NA
GSM774108_CF173-1984c.CEL	NA
GSM774109_CF173-2002a.CEL	NA
GSM774110_CF173-2002b.CEL	NA
GSM774111_CF173-2002c.CEL	NA
GSM774112_CF173-2005a.CEL	NA
GSM774113_CF173-2005b.CEL	NA
GSM774114_CF173-2005c.CEL	NA
GSM774115_CF243-2002a.CEL	NA
GSM774116_CF243-2002b.CEL	NA
GSM774117_CF243-2002c.CEL	NA
