loss	val_loss	learning_rate	batch_size	epochs	kappa
3640.3014108758225	3817.505615234375	0.001	100	100	0.01
3530.7873892086986	3565.3125	0.001	100	100	0.01
3507.5562351516814	3517.01025390625	0.001	100	100	0.01
3494.984923245614	3498.0576171875	0.001	100	100	0.01
3484.800285830135	3520.268798828125	0.001	100	100	0.01
3481.0212516561587	3496.905517578125	0.001	100	100	0.01
3474.4738883749087	3469.81689453125	0.001	100	100	0.01
3469.3999794407896	3466.57275390625	0.001	100	100	0.01
3470.638619049251	3466.08349609375	0.001	100	100	0.01
3465.3697088587355	3452.16845703125	0.001	100	100	0.01
3462.124945746528	3446.53955078125	0.001	100	100	0.01
3460.1145790501646	3443.561767578125	0.001	100	100	0.01
3456.7542017886512	3426.2880859375	0.001	100	100	0.01
3457.718574390077	3434.312744140625	0.001	100	100	0.01
3451.5413097359283	3432.671630859375	0.001	100	100	0.01
3448.8675244426167	3424.530029296875	0.001	100	100	0.01
3446.138005128381	3424.279052734375	0.001	100	100	0.01
3446.6487287554824	3423.3466796875	0.001	100	100	0.01
3441.281128643549	3437.5341796875	0.001	100	100	0.01
3438.71728515625	3422.751953125	0.001	100	100	0.01
3441.9079489903143	3414.907470703125	0.001	100	100	0.01
3438.406439887153	3423.47900390625	0.001	100	100	0.01
3437.3022146838452	3415.663818359375	0.001	100	100	0.01
3437.4409536618236	3409.73583984375	0.001	100	100	0.01
3434.884207385325	3410.574951171875	0.001	100	100	0.01
3432.586120248538	3405.7919921875	0.001	100	100	0.01
3432.8472065172696	3412.248291015625	0.001	100	100	0.01
3429.9301243832238	3412.830810546875	0.001	100	100	0.01
3429.112608792489	3406.841552734375	0.001	100	100	0.01
3425.5930375662465	3414.144775390625	0.001	100	100	0.01
3426.4557948419224	3408.711181640625	0.001	100	100	0.01
3424.573787577668	3404.63037109375	0.001	100	100	0.01
3423.6197959498354	3408.1904296875	0.001	100	100	0.01
3420.1161010028327	3398.110595703125	0.001	100	100	0.01
3421.2914268092104	3400.581787109375	0.001	100	100	0.01
3418.1098918357093	3403.553955078125	0.001	100	100	0.01
3416.9213653029055	3406.2734375	0.001	100	100	0.01
3419.8849155359103	3394.55712890625	0.001	100	100	0.01
3417.683722245066	3405.873046875	0.001	100	100	0.01
3418.112738715278	3412.197998046875	0.001	100	100	0.01
3414.9900873195356	3400.343994140625	0.001	100	100	0.01
3414.8401864035086	3397.770751953125	0.001	100	100	0.01
3413.6643209178546	3397.1923828125	0.001	100	100	0.01
3411.3548819558664	3397.121337890625	0.001	100	100	0.01
3412.8613566794593	3400.927978515625	0.001	100	100	0.01
3409.278374565972	3394.66650390625	0.001	100	100	0.01
3408.0786946614585	3398.11181640625	0.001	100	100	0.01
3406.9835940355447	3393.95556640625	0.001	100	100	0.01
3407.0858261376097	3398.76904296875	0.001	100	100	0.01
3407.0312742712904	3390.1484375	0.001	100	100	0.01
3406.3445823624816	3386.900390625	0.001	100	100	0.01
3408.299931754843	3385.63037109375	0.001	100	100	0.01
3407.1308422423244	3384.718994140625	0.001	100	100	0.01
3404.985412954587	3382.45947265625	0.001	100	100	0.01
3403.655033580044	3386.265380859375	0.001	100	100	0.01
3401.0639177288926	3382.96240234375	0.001	100	100	0.01
3400.50262986568	3382.21142578125	0.001	100	100	0.01
3397.0035650242144	3385.19873046875	0.001	100	100	0.01
3402.1472410681654	3379.911865234375	0.001	100	100	0.01
3400.22490919682	3386.654052734375	0.001	100	100	0.01
3400.1392415364585	3381.482177734375	0.001	100	100	0.01
3397.92845965826	3382.9296875	0.001	100	100	0.01
3397.2288996824745	3381.127197265625	0.001	100	100	0.01
3397.981510987756	3384.98193359375	0.001	100	100	0.01
3396.928957933571	3382.1962890625	0.001	100	100	0.01
3399.5798482616046	3382.623046875	0.001	100	100	0.01
3398.1918188619334	3378.340087890625	0.001	100	100	0.01
3394.7558094046967	3379.69775390625	0.001	100	100	0.01
3395.3412272135415	3384.682861328125	0.001	100	100	0.01
3394.2736987733006	3385.86474609375	0.001	100	100	0.01
3393.5990911115678	3375.586181640625	0.001	100	100	0.01
3394.2584549753287	3375.701416015625	0.001	100	100	0.01
3391.5662406341376	3378.392822265625	0.001	100	100	0.01
3390.6237036275584	3376.47314453125	0.001	100	100	0.01
3391.950927734375	3382.012451171875	0.001	100	100	0.01
3393.4576922857273	3376.9091796875	0.001	100	100	0.01
3390.8954335709063	3380.36474609375	0.001	100	100	0.01
3390.5768700315243	3377.608642578125	0.001	100	100	0.01
3389.7275276407163	3373.908203125	0.001	100	100	0.01
3389.670707122624	3376.58740234375	0.001	100	100	0.01
3387.9376656158624	3379.673095703125	0.001	100	100	0.01
3389.8819401612755	3375.196044921875	0.001	100	100	0.01
3386.2519674022296	3373.293701171875	0.001	100	100	0.01
3385.056397912098	3373.502197265625	0.001	100	100	0.01
3387.5039890579314	3374.6845703125	0.001	100	100	0.01
3385.185969480994	3370.654541015625	0.001	100	100	0.01
3387.3622747053178	3369.39208984375	0.001	100	100	0.01
3383.7553825155337	3371.815185546875	0.001	100	100	0.01
3383.5567519873903	3367.2724609375	0.001	100	100	0.01
3384.493660910088	3370.693359375	0.001	100	100	0.01
3384.6325926306654	3367.09814453125	0.001	100	100	0.01
3385.1880268297696	3367.47509765625	0.001	100	100	0.01
3382.4421857867324	3372.76611328125	0.001	100	100	0.01
3379.4402026795506	3367.712158203125	0.001	100	100	0.01
3380.1229597838997	3370.7158203125	0.001	100	100	0.01
3382.09984637701	3370.039794921875	0.001	100	100	0.01
3380.5021829883954	3366.82568359375	0.001	100	100	0.01
3380.6172217653507	3366.953857421875	0.001	100	100	0.01
3377.6305367096124	3366.562744140625	0.001	100	100	0.01
